OrderID,CustomerID,SKU,Description
201901,1001,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
201902,1002,BAS-24-1 C,Basic Switch 10/100/1000 BaseT 24 port
201903,1003,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201904,1004,ADV-24-10C,Advanced Switch 10GigE Copper 24 port
201905,1005,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber
201906,1006,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
201907,1007,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port
201908,1008,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port 
201909,1009,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
201910,1010,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port 
201911,1011,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201912,1012,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
201913,1013,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
201914,1014,ADV-24-10C,Advanced Switch 10GigE Copper 24 port
201915,1015,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port
201916,1016,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber
201917,1017,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
201918,1018,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201919,1019,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
201920,1020,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port 
201921,1021,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201922,1022,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
201923,1023,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
201924,1024,ADV-24-10C,Advanced Switch 10GigE Copper 24 port
201925,1025,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port
201926,1026,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber
201927,1027,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
201928,1028,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201929,1029,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201930,1030,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
201931,1031,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
201932,1032,ADV-24-10C,Advanced Switch 10GigE Copper 24 port
201933,1033,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port
201934,1034,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber
201935,1035,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
201936,1036,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201937,1037,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
201938,1038,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port 
201939,1039,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201940,1040,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
201941,1041,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
201942,1042,ADV-24-10C,Advanced Switch 10GigE Copper 24 port
201943,1043,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port
201944,1044,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber
201945,1045,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
201946,1046,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201947,1047,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201948,1048,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
201949,1049,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
201950,1050,ADV-24-10C,Advanced Switch 10GigE Copper 24 port
201951,1051,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port
201952,1052,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber
201953,1053,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
201954,1054,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201955,1055,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
201956,1056,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port 
201957,1057,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201958,1058,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
201959,1059,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
201960,1060,ADV-24-10C,Advanced Switch 10GigE Copper 24 port
201961,1061,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port
201962,1062,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber
201963,1063,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
201964,1064,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201965,1065,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201966,1066,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
201967,1067,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
201968,1068,ADV-24-10C,Advanced Switch 10GigE Copper 24 port
201969,1069,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port
201970,1070,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber
201971,1071,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
201972,1072,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201973,1073,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
201974,1074,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port 
201975,1075,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
201976,1076,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
201977,1077,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
